date,commodity,open,high,low,close,volume
2005-01-03,Corn,203.5,203.5,203.0,201.75,1743
2005-01-03,Soybean,546.0,546.0,541.5,537.25,47
2005-01-03,Wheat,307.5,307.5,305.5,302.25,144
2005-01-04,Corn,201.25,201.25,200.25,201.0,1357
2005-01-04,Soybean,536.5,536.5,535.5,529.75,54
2005-01-04,Wheat,301.75,302.0,300.5,296.0,481
2005-01-05,Corn,201.0,201.25,200.5,201.5,1159
2005-01-05,Soybean,530.0,531.5,529.5,534.0,37
2005-01-05,Wheat,295.75,298.0,295.25,299.75,181
2005-01-06,Corn,201.5,203.25,201.5,208.75,7093
2005-01-06,Soybean,534.5,536.25,534.5,541.75,35
2005-01-06,Wheat,299.25,300.75,299.25,308.25,961
2005-01-07,Corn,207.5,208.75,207.5,206.75,1307
2005-01-07,Soybean,541.0,546.5,541.0,551.75,17
2005-01-07,Wheat,309.25,310.75,309.0,309.75,158
2005-01-10,Corn,206.5,206.5,204.5,206.75,998
2005-01-10,Soybean,550.25,550.25,549.25,560.0,65
2005-01-10,Wheat,309.25,309.5,307.5,307.75,397
2005-01-11,Corn,206.75,207.5,206.25,206.75,1091
2005-01-11,Soybean,559.0,562.5,559.0,557.5,10
2005-01-11,Wheat,306.5,308.25,306.5,306.5,339
2005-01-12,Corn,206.25,206.5,205.5,200.5,1427
2005-01-12,Soybean,555.0,555.0,555.0,554.0,11
2005-01-12,Wheat,306.25,306.5,304.75,307.25,389
2005-01-13,Corn,200.5,201.0,199.5,200.0,1189
2005-01-13,Soybean,553.25,553.25,553.25,557.5,10
2005-01-13,Wheat,307.5,307.5,305.0,307.5,278
2005-01-14,Corn,200.0,200.25,199.25,197.25,3171
2005-01-14,Soybean,557.5,557.5,557.5,542.0,3364
2005-01-14,Wheat,307.25,307.5,306.25,297.5,480
2005-01-18,Corn,197.5,197.5,195.25,196.0,867
2005-01-18,Soybean,518.0,518.5,512.5,513.5,684
2005-01-18,Wheat,297.75,298.0,295.5,296.5,187
2005-01-19,Corn,196.0,196.5,196.0,196.75,594
2005-01-19,Soybean,513.75,516.0,513.75,517.75,875
2005-01-19,Wheat,297.0,298.5,296.25,299.0,149
2005-01-20,Corn,196.75,197.25,196.5,197.75,401
2005-01-20,Soybean,517.5,518.0,515.75,523.25,484
2005-01-20,Wheat,298.25,299.5,298.0,294.75,247
2005-01-21,Corn,198.0,198.25,197.5,197.0,1033
2005-01-21,Soybean,523.0,523.25,521.0,516.75,1279
2005-01-21,Wheat,295.0,296.25,294.75,295.75,253
2005-01-24,Corn,197.0,198.5,197.0,197.75,505
2005-01-24,Soybean,518.5,522.25,518.5,520.0,449
2005-01-24,Wheat,296.5,297.75,296.5,295.25,51
2005-01-25,Corn,197.5,198.0,197.25,199.0,1975
2005-01-25,Soybean,519.5,521.5,517.0,526.0,570
2005-01-25,Wheat,295.25,296.0,294.5,297.0,81
